id,title,career,zip_code,residence,loan,term,interest_rate,issue_time,syndicated,installment,record_time,history_time,total_accounts,balance_accounts,balance_limit,balance,level,career_isna,payment_to_balance
53513,8,8.0,311662,1,11050,36,10.05,1151799827,0,0,1162167553,848103215,16,8,14800.0,10934.0,A4,0,0.0
53514,8,2.0,331717,2,9850,36,9.5,1183423077,0,0,1204157668,650765598,16,8,14000.0,7345.0,A3,0,0.0
53515,8,10.0,231396,0,7200,36,10.9,1186099640,0,0,1186101124,834883804,16,8,15900.0,8129.0,A4,0,0.0
53516,9,10.0,271564,1,5200,36,11.4,1202000395,0,1,1274575529,629770845,16,8,4100.0,1398.0,A4,0,0.125
53517,8,5.0,251511,0,26100,36,14.45,1172881210,0,1,1172883226,500948281,16,8,61500.0,46150.0,B2,0,0.125
53518,10,3.0,421903,1,10400,36,15.7,1083458113,0,0,1083457812,695608429,15,8,22600.0,18520.0,B1,0,0.0
53519,6,2.0,311681,2,3700,36,14.6,1117672514,0,0,1117670774,598236529,15,8,5900.0,4157.0,B2,0,0.0
53520,10,6.0,251522,1,5200,36,18.3,1083458051,0,1,1122338608,450922675,15,8,11300.0,3276.0,B3,0,0.125
53521,8,6.0,141133,0,5200,36,16.65,1107304952,0,1,1107302773,869011720,15,8,18000.0,6601.0,B3,0,0.125
53522,6,5.0,321697,0,7800,36,9.9,1096677285,0,0,1132964910,842834947,15,8,9900.0,4871.0,A3,0,0.0
53523,8,10.0,281587,0,21300,60,16.2,1101947597,0,0,1107130907,637546382,15,8,24500.0,19770.0,B2,0,0.0
53524,7,1.0,321693,0,21300,60,21.8,1178153999,0,1,1178152379,800671252,15,8,27800.0,20594.0,C4,0,0.125
53525,7,10.0,291616,1,15350,36,18.6,1235955076,0,1,1329266155,861150019,15,8,10200.0,166.0,B3,0,0.125
53526,10,10.0,331712,0,1800,36,17.0,1183422726,0,0,1183421186,761360129,15,8,15100.0,12350.0,B3,0,0.0
53527,6,2.0,231391,1,21300,36,12.8,1151801017,0,0,1151799972,645495964,15,8,36700.0,35596.0,B1,0,0.0
53528,7,1.0,281586,1,11050,60,15.2,1099355213,0,1,1099356959,779676443,15,8,17800.0,12789.0,B1,0,0.125
53529,9,6.0,421901,1,16500,60,17.7,1099354895,0,0,1236730647,774319221,15,8,10700.0,3333.0,B3,0,0.0
53530,10,10.0,241451,0,15350,60,14.2,1094086197,0,1,1213316176,740189302,15,8,11600.0,4674.0,B1,0,0.125
53531,9,10.0,241478,2,5950,36,7.9,1151799008,0,0,1151798852,303697124,15,8,67600.0,45939.0,A2,0,0.0
53532,5,5.0,131118,0,5300,36,11.6,1157155597,0,0,1157157891,585017083,15,8,24700.0,24426.0,A5,0,0.0
53533,9,4.0,281584,0,23000,36,6.8,1149206908,0,0,1188087577,874370782,15,8,21600.0,14691.0,A1,0,0.0
53534,8,9.0,131104,1,33050,36,19.15,1191372314,0,0,1266537930,656036538,15,8,16400.0,8538.0,B4,0,0.0
53535,8,0.0,231397,0,12950,36,17.05,1151798509,0,0,1229560350,224901794,16,9,7900.0,3078.0,B4,0,0.0
53536,6,Unknown,552153,1,5950,36,12.2,1151799428,0,1,1198457183,976925957,16,9,6900.0,3431.0,B0,1,0.1111111111111111
53537,8,10.0,311682,0,9850,36,6.65,1238633282,0,0,1329351737,719196457,16,9,32200.0,513.0,A1,0,0.0
53538,10,4.0,301646,0,16500,36,12.4,1088727852,0,0,1125015662,856054692,16,9,21000.0,12195.0,A4,0,0.0
53539,6,Unknown,221377,0,11050,36,23.05,1235952950,1,1,1295569774,577155045,16,9,10000.0,5480.0,C1,1,0.1111111111111111
53540,6,10.0,451944,0,15950,60,25.05,1159748014,0,1,1297125722,808619360,16,9,10000.0,3199.0,D4,0,0.1111111111111111
53541,8,4.0,331714,0,15350,36,7.9,1230856830,0,1,1233447634,340504119,16,9,53900.0,14820.0,A2,0,0.1111111111111111
53542,6,0.0,181222,1,11050,60,19.95,1175561463,0,0,1237769191,892685383,16,9,12300.0,8556.0,C1,0,0.0
53543,7,9.0,331715,1,5950,36,9.8,1175561400,0,1,1175559925,558838303,16,9,19100.0,7735.0,A4,0,0.1111111111111111
53544,7,0.0,181234,1,29900,60,14.45,1170376395,0,0,1170377217,671846487,16,9,47400.0,33822.0,B2,0,0.0
53545,8,6.0,291603,0,29900,60,26.9,1238633120,0,1,1378600860,1016239957,16,9,13700.0,5784.0,C5,0,0.1111111111111111
53546,6,9.0,241478,1,15350,36,10.75,1172882938,1,0,1172881542,837478153,16,9,26400.0,19475.0,A4,0,0.0
53547,8,9.0,181274,1,26100,36,14.55,1172881348,0,1,1263603357,695606977,16,9,12700.0,944.0,B2,0,0.1111111111111111
53548,10,0.0,361798,0,13050,36,13.5,1167696401,0,1,1167696721,732240814,16,9,15600.0,13641.0,B1,0,0.1111111111111111
53549,10,7.0,471991,0,3700,36,12.95,1107305249,0,0,1107304436,705975496,16,9,7500.0,4809.0,A5,0,0.0
53550,8,2.0,241451,0,33050,60,9.85,1220316008,0,0,1295481740,879640948,16,9,80200.0,20526.0,A3,0,0.0
53551,7,1.0,231391,2,7200,36,9.65,1109722652,0,0,1114906836,687659559,16,9,9300.0,7788.0,A3,0,0.0
53552,8,2.0,522085,1,12950,36,9.25,1167698297,0,0,1240274962,740191908,17,8,15500.0,3549.0,A3,0,0.0
53553,10,10.0,181235,0,23000,36,8.85,1067819117,0,0,1067818148,340505935,17,8,50900.0,25154.0,A2,0,0.0
53554,10,3.0,181225,2,29900,36,8.95,1044144878,0,1,1044144941,587694262,17,8,70700.0,43032.0,A2,0,0.125
53555,6,10.0,311662,1,29900,36,16.45,1178152721,0,0,1178153616,679709508,17,8,43900.0,36462.0,B3,0,0.0
53556,9,6.0,241458,1,11050,36,12.15,1154480027,0,0,1172623839,677119250,17,8,19800.0,10176.0,B0,0,0.0
53557,9,0.0,281590,1,11050,36,14.85,1201998025,0,0,1264207954,895278371,17,8,17300.0,4805.0,B2,0,0.0
53558,7,2.0,471990,1,11050,60,13.5,1207094407,1,1,1336694787,637547946,17,8,15800.0,2766.0,B1,0,0.125
53559,10,1.0,181228,1,15350,36,17.55,1036195504,0,1,1036196706,656035497,17,8,22900.0,16462.0,B4,0,0.125
53560,10,10.0,101009,1,13050,36,12.05,1241225745,0,0,1251593605,395627127,17,8,17000.0,11897.0,A5,0,0.0
53561,6,0.0,241473,0,7000,36,11.0,1225585249,1,0,1303347293,771724898,17,8,9100.0,1485.0,A4,0,0.0
53562,9,6.0,321691,0,7600,36,12.0,1212364819,0,0,1212367537,690337473,17,8,42800.0,7360.0,A5,0,0.0
53563,7,3.0,421903,0,11050,36,16.2,1212364892,0,0,1222735478,290477571,17,8,22600.0,11071.0,B2,0,0.0
53564,10,10.0,171199,0,16500,36,9.75,1051921872,0,0,1134864668,774317981,14,8,41200.0,2510.0,A3,0,0.0
53565,7,1.0,311675,1,10400,36,12.8,1146529993,0,1,1216513161,748140267,14,8,6300.0,2876.0,B1,0,0.125
53566,10,3.0,231428,0,11050,36,7.65,1015027876,0,1,1033172084,750732702,14,8,36300.0,9994.0,A2,0,0.125
53567,7,10.0,101019,0,15350,36,12.2,1154478130,0,0,1219277721,776996030,14,8,18100.0,5552.0,B0,0,0.0
53568,6,Unknown,241461,1,15350,36,16.45,1125621459,0,0,1190419233,787538586,14,8,6500.0,5601.0,B3,1,0.0
53569,9,2.0,181228,1,13050,36,12.25,1157155508,0,0,1167525874,926902160,14,8,21900.0,12059.0,B0,0,0.0
53570,10,7.0,221381,1,15350,36,10.55,986171225,0,0,1071708760,564109164,14,8,14800.0,1616.0,A4,0,0.0
53571,6,10.0,191297,0,5200,36,13.7,1170375020,0,0,1170375496,832206881,14,8,22300.0,8638.0,B1,0,0.0
53572,10,6.0,151166,0,7200,36,17.85,1078187442,0,0,1153356129,882233716,14,8,10500.0,2069.0,B3,0,0.0
53573,9,10.0,181235,0,29900,36,18.15,1225585411,0,1,1300752294,627181050,14,8,9600.0,7223.0,B3,0,0.125
53574,7,8.0,231402,0,13050,36,15.15,1114994724,0,1,1177203449,892688174,14,8,11500.0,5266.0,B2,0,0.125
53575,10,10.0,171200,0,15950,60,30.0,1217637459,1,0,1305765155,685069062,14,8,11800.0,9898.0,D3,0,0.0
53576,6,Unknown,251523,2,7600,36,18.8,1191370684,0,0,1191370130,866420687,14,8,16500.0,9945.0,B4,1,0.0
53577,8,3.0,311664,0,15950,36,8.0,1199319757,0,1,1287447359,816566738,14,8,17400.0,1382.0,A2,0,0.125
53578,9,10.0,181229,1,10400,60,24.25,1188779850,0,0,1258762141,724465579,14,8,13700.0,6994.0,C3,0,0.0
53579,9,3.0,181227,1,5200,36,7.9,1143937556,0,0,1143937712,871689848,14,8,28100.0,20304.0,A2,0,0.0
53580,9,6.0,241456,0,5950,36,13.05,1120265103,0,1,1120262518,979604611,14,8,7700.0,6171.0,B0,0,0.125
53581,10,2.0,181234,0,11050,36,16.35,981072789,0,0,981073882,629772910,14,8,24700.0,22216.0,C1,0,0.0
53582,7,3.0,281592,0,3700,36,11.5,1204419498,0,1,1251073720,729821603,14,8,6600.0,2198.0,A5,0,0.125
53583,8,7.0,351771,1,29900,36,11.5,1149207424,0,0,1149208908,603591335,14,8,55700.0,44770.0,A5,0,0.0
53584,10,1.0,181225,1,21300,36,11.35,1201997504,0,0,1248652907,419387351,14,8,28800.0,11342.0,A4,0,0.0
53585,8,10.0,171191,1,11050,36,6.55,1165019787,0,0,1175388468,705977983,19,9,36300.0,10940.0,A1,0,0.0
53586,9,4.0,121062,1,11050,36,11.65,1120264026,0,0,1120263348,477362590,19,9,24100.0,18600.0,A4,0,0.0
53587,9,10.0,191298,1,5950,36,17.6,1149208287,0,0,1149208718,579745352,19,9,11900.0,8780.0,B4,0,0.0
53588,7,10.0,271563,0,15950,60,14.0,1141258662,0,0,1257899626,763776214,19,9,6100.0,5194.0,B2,0,0.0
53589,10,8.0,181251,0,25500,36,6.45,1170376480,0,0,1242951033,903225727,19,9,32700.0,6766.0,A1,0,0.0
53590,10,10.0,361784,0,10400,36,26.35,1199321805,0,0,1199320999,845424199,19,9,24900.0,18138.0,C5,0,0.0
53591,9,3.0,241453,2,15350,60,13.2,1149207870,0,0,1190680360,582424860,19,9,20000.0,12112.0,B1,0,0.0
53592,8,2.0,321705,1,3700,36,6.55,1125621516,0,1,1159318367,913768954,19,9,14400.0,2646.0,A1,0,0.1111111111111111
53593,9,0.0,191293,1,7600,36,11.4,1136161278,0,0,1182818828,897957398,19,9,12600.0,3931.0,A4,0,0.0
53594,9,10.0,181224,0,5200,36,17.1,1194048784,1,0,1196642595,848103235,19,9,8200.0,4993.0,B3,0,0.0
53595,10,10.0,191292,0,21300,36,10.2,1128212511,0,0,1128213902,727144689,19,9,38500.0,31760.0,A3,0,0.0
53596,6,5.0,231392,1,7200,36,13.6,1180828975,0,1,1180830294,558838263,19,9,18800.0,8142.0,B1,0,0.1111111111111111
53597,8,10.0,171191,0,21300,60,13.6,1172880923,0,0,1328400572,790216689,19,9,,0.0,B1,0,0.0
53598,9,1.0,121061,0,5950,36,7.2,1157157513,0,0,1157158219,550888395,19,9,38000.0,17854.0,A2,0,0.0
53599,9,2.0,241470,1,5300,36,16.45,1141260710,0,0,1141259985,808621039,19,9,24100.0,14567.0,B3,0,0.0
53600,7,10.0,181272,1,15950,60,19.5,1167699401,0,0,1292114686,656037800,18,9,7800.0,4762.0,C2,0,0.0
53601,6,10.0,181225,0,10050,60,18.8,1207095175,0,0,1225239322,598234611,18,9,15500.0,10216.0,B4,0,0.0
53602,10,1.0,231393,1,10400,36,12.15,1062549584,0,1,1062550082,897956961,18,9,23000.0,10708.0,A4,0,0.1111111111111111
53603,8,9.0,191306,1,11050,36,11.55,1138839422,0,0,1182905786,882233778,18,9,17100.0,7081.0,A5,0,0.0
53604,8,7.0,291609,1,15350,60,19.0,1167696616,0,1,1284338633,787538104,18,9,12900.0,5256.0,C1,0,0.1111111111111111
53605,8,0.0,181258,1,21300,36,13.55,1165018307,0,0,1255740768,545617376,18,9,8300.0,1100.0,B2,0,0.0
53606,7,10.0,171192,0,33050,60,24.85,1196643076,1,0,1321058778,948070478,18,9,35600.0,11167.0,C3,0,0.0
53607,7,7.0,181239,1,12950,36,13.5,1238631040,0,0,1248998741,737511734,18,9,16300.0,12927.0,B1,0,0.0
53608,9,10.0,181242,0,33050,36,8.15,1151800780,0,1,1151798411,366768188,18,9,56900.0,35340.0,A3,0,0.1111111111111111
53609,10,10.0,231426,1,29900,60,11.8,1036198186,0,0,1072485758,385085555,18,9,81400.0,24576.0,A4,0,0.0
53610,8,10.0,241457,2,25500,36,6.45,1141257697,0,0,1190507765,653443354,18,9,67000.0,14394.0,A1,0,0.0
53611,10,10.0,482003,1,10400,36,9.7,1175560324,0,1,1198888449,808617769,12,7,20800.0,7896.0,A4,0,0.14285714285714285
53612,7,0.0,401869,0,7000,36,13.0,1099355010,0,0,1099356564,700705235,12,7,17400.0,15432.0,A4,0,0.0
53613,7,6.0,241497,2,5200,36,12.35,1133482931,0,0,1133482363,222221038,12,7,51000.0,38398.0,B0,0,0.0
53614,8,10.0,131119,0,13050,36,7.4,1222907917,0,1,1225499912,876960549,12,7,36100.0,12974.0,A2,0,0.14285714285714285
53615,6,10.0,181250,0,16500,60,14.0,1183424247,0,1,1313024006,348451669,12,7,23700.0,3955.0,B1,0,0.14285714285714285
53616,8,6.0,431918,0,10400,36,17.2,1178152506,0,1,1178153667,1016239056,12,7,23600.0,16408.0,B3,0,0.14285714285714285
53617,7,10.0,341756,0,15950,36,11.35,1204418197,0,0,1274403451,453515510,12,7,6400.0,4802.0,A4,0,0.0
53618,6,10.0,281586,1,23000,36,7.9,1078186195,0,0,1078186302,353548980,12,7,72900.0,39851.0,A2,0,0.0
53619,10,0.0,171192,1,10400,36,14.1,1167696752,0,1,1201393907,800671821,12,7,10500.0,7081.0,B2,0,0.14285714285714285
53620,10,2.0,141138,1,3700,36,19.0,1178150585,0,0,1206663737,921630574,12,7,5300.0,3007.0,B4,0,0.0
53621,6,Unknown,321696,0,5200,36,8.85,1109722877,0,0,1164155593,821837135,12,7,9800.0,2269.0,A2,1,0.0
53622,6,0.0,361797,1,23000,36,14.0,1146530472,0,0,1185409237,784944367,12,7,14200.0,15414.0,B2,0,0.0
53623,9,8.0,181251,1,23000,60,15.6,1159748686,0,0,1260835292,377310733,12,7,13800.0,10891.0,B3,0,0.0
53624,10,10.0,231396,2,11050,60,14.05,1204418925,0,0,1354752791,663985712,12,7,7200.0,735.0,B1,0,0.0
53625,8,3.0,251523,0,21300,60,17.05,1143937927,0,0,1226882527,971656586,12,7,13400.0,11597.0,B4,0,0.0
53626,10,1.0,241457,1,11050,36,14.35,1180830666,0,0,1180831448,632449367,12,7,24500.0,16310.0,B2,0,0.0
53627,10,2.0,241470,0,15950,36,14.45,1107302473,0,0,1122854843,945389438,12,7,15200.0,13973.0,B1,0,0.0
53628,6,Unknown,231401,1,5200,36,15.65,1138840947,0,0,1188089125,840153926,12,7,5300.0,2715.0,B3,1,0.0
53629,8,10.0,181235,1,20900,36,10.85,1165019535,0,1,1196124537,372038527,12,7,34200.0,15583.0,A4,0,0.14285714285714285
53630,7,2.0,231396,1,15350,60,7.05,1172883596,0,0,1172882282,298428423,12,7,36700.0,15035.0,A1,0,0.0
53631,9,7.0,281590,0,5200,36,9.4,1235953426,1,0,1287792821,1047862341,12,7,25800.0,2471.0,A3,0,0.0
53632,7,7.0,181249,0,11050,36,12.6,1141258655,0,1,1180137614,322014504,12,7,10800.0,7674.0,B1,0,0.14285714285714285
53633,7,3.0,281584,0,5200,36,8.7,1133482487,0,0,1133483945,766455332,12,7,13300.0,7450.0,A3,0,0.0
53634,6,1.0,451941,0,10400,60,13.6,1235953843,0,0,1329264151,863742663,12,7,14600.0,4927.0,B1,0,0.0
53635,10,4.0,522085,1,7000,36,11.1,1075769218,0,0,1091321950,613958542,12,7,10400.0,6145.0,A3,0,0.0
53636,8,3.0,552152,1,11050,36,13.55,1199320878,0,1,1251161990,564106871,12,7,11400.0,6117.0,B1,0,0.14285714285714285
53637,10,4.0,552152,0,21300,60,15.1,1235953135,1,0,1352594262,1087346797,12,7,7600.0,6787.0,B2,0,0.0
53638,8,6.0,221381,2,16500,60,9.05,1170375017,0,0,1170376017,682389784,20,10,45400.0,38514.0,A3,0,0.0
53639,10,4.0,361792,1,13200,36,13.2,1080865127,0,0,1086049649,790217706,20,10,19400.0,13826.0,A4,0,0.0
53640,10,4.0,291624,0,13200,60,15.45,1186101184,0,0,1186101143,869013570,20,10,19900.0,15399.0,B2,0,0.0
53641,7,2.0,161181,1,15350,36,12.5,1128214510,0,0,1143764722,790217704,20,10,27500.0,13049.0,A5,0,0.0
53642,7,10.0,311666,1,15350,60,16.35,1120265096,0,0,1208391757,190685843,20,10,14600.0,8021.0,B3,0,0.0
53643,7,0.0,421903,0,33050,36,12.55,1109724530,0,0,1109722174,640225738,20,10,85300.0,45121.0,A4,0,0.0
53644,10,10.0,181239,0,33050,60,13.55,1136161742,0,0,1226880792,734920174,20,10,39100.0,17939.0,B1,0,0.0
53645,9,0.0,101032,0,20900,60,17.65,1157155282,0,0,1263429262,756002841,20,10,9600.0,8755.0,B4,0,0.0
53646,8,0.0,522084,0,21300,60,12.3,1141258896,0,0,1141257691,705975626,20,10,40900.0,20454.0,B0,0,0.0
53647,9,10.0,311674,0,7600,36,6.35,1146528092,0,0,1198370094,640226001,20,10,5900.0,3554.0,A1,0,0.0
53648,7,5.0,241462,0,10400,36,11.05,1162427360,0,0,1162427218,606012455,20,10,13100.0,10445.0,A4,0,0.0
53649,8,1.0,121075,1,11050,36,11.5,1159747326,0,0,1164931797,861151940,20,10,22400.0,11707.0,A5,0,0.0
53650,9,10.0,311668,1,8900,36,19.35,1238633792,0,1,1238632896,874369732,20,10,30800.0,27917.0,B4,0,0.1
53651,8,3.0,291613,0,15950,60,18.35,1238633728,0,0,1238633540,882232769,20,10,,0.0,B3,0,0.0
53652,8,10.0,241459,2,5950,36,10.6,1207094651,0,1,1207096644,503542099,20,10,31000.0,21334.0,A3,0,0.1
53653,10,5.0,281587,0,16500,36,11.6,1117672924,0,0,1117672101,587695573,20,10,28400.0,24375.0,A4,0,0.0
53654,6,10.0,181230,1,10400,36,22.35,1172882247,0,0,1253233716,700707311,20,10,8400.0,2135.0,C5,0,0.0
53655,6,10.0,231396,1,25500,36,19.15,1114992542,0,0,1148690361,792895315,20,10,22300.0,20157.0,C1,0,0.0
53656,7,2.0,191301,1,7000,36,13.85,1149208735,0,0,1188088482,895280116,20,10,10400.0,4618.0,B2,0,0.0
53657,10,10.0,311679,1,3700,36,6.55,1122942739,0,0,1138494607,713924391,20,10,19000.0,3395.0,A1,0,0.0
53658,9,6.0,311668,1,11050,60,25.6,1114994882,0,1,1114992768,542940831,13,7,22900.0,14896.0,D5,0,0.14285714285714285
53659,10,0.0,411883,1,15350,60,12.5,1133483805,0,1,1203466311,916447019,13,7,18500.0,9444.0,B0,0,0.14285714285714285
53660,10,6.0,181247,1,7000,36,11.95,1170377747,0,0,1185928431,745461004,13,7,7300.0,6064.0,B0,0,0.0
53661,7,4.0,331718,2,21300,60,15.75,1141260042,0,0,1198285165,500947884,13,7,18500.0,14430.0,B3,0,0.0
53662,10,10.0,482003,1,10400,36,12.05,1220314712,0,0,1266971140,611281087,13,7,7300.0,5550.0,A5,0,0.0
53663,10,3.0,241456,1,5950,36,14.25,1088729538,0,1,1088728647,869014610,13,7,13600.0,7287.0,B1,0,0.14285714285714285
53664,8,3.0,151164,1,2850,36,8.0,1180831468,0,0,1180829303,734919811,13,7,14700.0,4155.0,A2,0,0.0
53665,9,7.0,381822,1,29900,36,15.6,1186101090,0,1,1243125991,921629327,17,10,22400.0,13928.0,B2,0,0.1
53666,6,5.0,461961,1,17500,60,13.75,1130890212,0,1,1156810129,627178690,17,10,19600.0,15064.0,B1,0,0.1
53667,10,2.0,121062,1,12950,60,13.1,1096675792,0,0,1148515435,537753709,17,10,45600.0,10477.0,A4,0,0.0
53668,8,1.0,101035,0,7200,36,6.3,1151799648,0,0,1151801323,905904820,17,10,37100.0,10314.0,A1,0,0.0
53669,9,1.0,321698,0,10400,36,13.0,1096676853,0,0,1117411437,421978286,17,10,17900.0,8191.0,A4,0,0.0
53670,7,8.0,281584,0,23000,36,7.55,1167698131,0,0,1201393867,424657050,17,10,116300.0,16279.0,A2,0,0.0
53671,8,0.0,121062,0,23000,36,7.65,1104625401,0,0,1104624281,837478612,17,10,56200.0,35134.0,A1,0,0.0
53672,9,9.0,131101,1,7000,36,8.2,1159748359,0,1,1167523990,779676416,17,10,12900.0,6649.0,A3,0,0.1
53673,8,3.0,151169,0,7200,36,11.9,1130891266,0,0,1136074917,905905854,17,10,17900.0,7711.0,A5,0,0.0
53674,7,2.0,171195,0,10400,36,9.85,1165021162,0,0,1183162048,472003769,17,10,17300.0,8287.0,A4,0,0.0
53675,10,5.0,171191,0,20900,60,22.1,1054600566,0,0,1116808089,732243369,17,10,21200.0,15364.0,C5,0,0.0
53676,8,5.0,181255,1,25500,60,15.7,1112401199,0,0,1192753883,800669730,17,10,23400.0,16352.0,B2,0,0.0
53677,8,10.0,311682,0,11050,36,9.7,1109723987,0,0,1109725075,479782195,20,9,25300.0,14550.0,A3,0,0.0
53678,7,4.0,191310,1,13050,60,22.2,1117670878,0,0,1262824794,763778513,20,9,11000.0,1442.0,C5,0,0.0
53679,6,10.0,211354,0,11050,36,13.5,1188780145,0,1,1188777706,358821104,20,9,,0.0,B1,0,0.1111111111111111
53680,7,5.0,181229,1,15950,60,12.05,1172881731,0,0,1240273718,727143905,20,9,28400.0,10307.0,B0,0,0.0
53681,9,3.0,532105,0,2850,36,12.6,1159750187,0,1,1159748843,782265876,20,9,15400.0,3570.0,B1,0,0.1111111111111111
53682,10,1.0,431911,1,12950,36,10.15,1062549803,0,0,1062550738,750732451,20,9,26800.0,22099.0,A3,0,0.0
53683,8,10.0,391835,1,7000,36,21.9,1133481901,0,0,1133482873,842833171,20,9,11200.0,9823.0,C5,0,0.0
53684,9,2.0,321703,1,5950,36,7.2,1162428503,0,1,1162427828,840157078,20,9,10300.0,7425.0,A2,0,0.1111111111111111
53685,7,7.0,381822,0,11050,36,11.1,1120264194,0,1,1177287820,358819921,20,9,7300.0,5333.0,A4,0,0.1111111111111111
53686,10,5.0,181226,0,23000,60,17.3,1083458009,0,0,1218241435,850696107,20,9,12400.0,4797.0,B2,0,0.0
53687,6,10.0,532113,1,8900,36,11.0,1112402623,0,1,1112402983,435198725,20,9,28600.0,14923.0,A3,0,0.1111111111111111
53688,9,10.0,482001,0,15350,36,13.1,1172880654,0,1,1261011367,729821288,20,9,10700.0,1219.0,B1,0,0.1111111111111111
53689,9,0.0,401857,0,12950,36,6.35,1143936206,0,0,1143936469,648088846,20,9,24500.0,14286.0,A1,0,0.0
53690,9,2.0,361789,2,8900,36,11.1,1107302622,0,0,1107304888,687658589,20,9,16600.0,12167.0,A3,0,0.0
53691,9,0.0,241478,1,5200,36,24.0,1141257615,0,0,1156811933,853375017,20,9,9000.0,4461.0,D2,0,0.0
53692,10,6.0,231391,2,12950,36,8.95,1067818375,0,0,1067820725,466734651,20,9,61400.0,30452.0,A2,0,0.0
