feature,miss_train,miss_test,miss_diff
amt_180d_mean,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_180d_std,0.5943156320119671,0.5926498454173731,-0.001665786594594043
amt_180d_median,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
txn_count_365d,0.0,0.0,0.0
amt_365d_sum,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_365d_mean,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
amt_365d_std,0.5943156320119671,0.5926498454173731,-0.001665786594594043
amt_365d_median,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
ratio_in_to_out,0.6077412116679133,0.6066620125660716,-0.0010791991018417324
ratio_amt_mean_to_std,0.594353029169783,0.59274957614441,-0.001603453025373014
ratio_txn_30d_to_all,0.5937172774869109,0.5921013264186696,-0.0016159510682413059
ratio_amt_30d_to_all,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__history_time__over__record_time,0.0,0.0,0.0
ratio__history_time__over__issue_time,0.0,0.0,0.0
ratio__history_time__over__zip_code,0.0,0.0,0.0
ratio__history_time__over__balance_limit,0.0024308152580403888,0.0023436720853695025,-8.71431726708863e-05
ratio__history_time__over__amt_30d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__history_time__over__amt_180d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__history_time__over__amt_365d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__history_time__over__amt_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__history_time__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__history_time__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__history_time__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__record_time__over__issue_time,0.0,0.0,0.0
ratio__record_time__over__zip_code,0.0,0.0,0.0
ratio__record_time__over__balance_limit,0.0024308152580403888,0.0023436720853695025,-8.71431726708863e-05
ratio__record_time__over__amt_30d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__record_time__over__amt_180d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__record_time__over__amt_365d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__record_time__over__amt_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__record_time__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__record_time__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__record_time__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__issue_time__over__zip_code,0.0,0.0,0.0
ratio__issue_time__over__balance_limit,0.0024308152580403888,0.0023436720853695025,-8.71431726708863e-05
ratio__issue_time__over__amt_30d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__issue_time__over__amt_180d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__issue_time__over__amt_365d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__issue_time__over__amt_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__issue_time__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__issue_time__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__issue_time__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__zip_code__over__balance_limit,0.0024308152580403888,0.0023436720853695025,-8.71431726708863e-05
ratio__zip_code__over__amt_30d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__zip_code__over__amt_180d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__zip_code__over__amt_365d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__zip_code__over__amt_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__zip_code__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__zip_code__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__zip_code__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__balance_limit__over__amt_30d_sum,0.5954188481675393,0.5937468834147801,-0.001671964752759214
ratio__balance_limit__over__amt_180d_sum,0.5954188481675393,0.5937468834147801,-0.001671964752759214
ratio__balance_limit__over__amt_365d_sum,0.5954188481675393,0.5937468834147801,-0.001671964752759214
ratio__balance_limit__over__amt_sum,0.5954188481675393,0.5937468834147801,-0.001671964752759214
ratio__balance_limit__over__amt_90d_sum,0.5954188481675393,0.5937468834147801,-0.001671964752759214
ratio__balance_limit__over__amt_60d_sum,0.5954188481675393,0.5937468834147801,-0.001671964752759214
ratio__balance_limit__over__out_amt_sum,0.6092557965594615,0.6082078388351451,-0.0010479577243164284
ratio__amt_30d_sum__over__amt_180d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_30d_sum__over__amt_365d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_30d_sum__over__amt_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_30d_sum__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_30d_sum__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_30d_sum__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__amt_180d_sum__over__amt_365d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_180d_sum__over__amt_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_180d_sum__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_180d_sum__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_180d_sum__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__amt_365d_sum__over__amt_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_365d_sum__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_365d_sum__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_365d_sum__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__amt_sum__over__amt_90d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_sum__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_sum__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__amt_90d_sum__over__amt_60d_sum,0.593735976065819,0.5921511917821881,-0.0015847842836308468
ratio__amt_90d_sum__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
ratio__amt_60d_sum__over__out_amt_sum,0.6075729244577412,0.6066121472025531,-0.0009607772551881721
