id,title,career,zip_code,residence,loan,term,interest_rate,issue_time,syndicated,installment,record_time,history_time,total_accounts,balance_accounts,balance_limit,balance,level,label,career_isna,payment_to_balance
18,10,8.0,341750,0,15350,60,16.85,1104625169,0,0,1179793833,550886940,17.0,9.0,10200.0,9378.0,B3,0,0,0.0
19,7,10.0,241451,0,29900,60,11.9,1241223864,0,1,1396744841,482458639,17.0,9.0,,466.0,A5,0,0,0.1111111111111111
20,9,10.0,331714,0,15350,36,9.95,1149209920,0,1,1182903627,856051607,17.0,9.0,12200.0,10149.0,A4,0,0,0.1111111111111111
21,6,0.0,241473,0,5200,36,9.8,1180829756,0,1,1204159170,845427194,17.0,9.0,7100.0,3898.0,A4,0,0,0.1111111111111111
22,6,Unknown,131107,2,3700,36,7.85,1172880886,0,1,1172882764,732241744,17.0,9.0,8500.0,4460.0,A2,0,1,0.1111111111111111
23,6,10.0,311674,2,10400,36,10.95,1222908433,0,1,1241049828,561430342,17.0,9.0,14400.0,8480.0,A4,0,0,0.1111111111111111
24,9,2.0,341744,0,9850,36,5.25,1228177494,0,0,1228177486,766454459,17.0,9.0,29300.0,9612.0,A0,0,0,0.0
25,6,Unknown,311679,1,10400,36,12.7,1225585282,0,1,1225586832,251078604,17.0,9.0,20000.0,13155.0,B0,0,1,0.1111111111111111
26,6,10.0,181224,1,15350,36,9.25,1149209819,0,0,1185496050,487730763,17.0,9.0,16500.0,9782.0,A3,0,0,0.0
27,8,10.0,231399,1,3700,36,23.95,1125621251,0,0,1125621623,858470520,17.0,9.0,20400.0,13317.0,D2,1,0,0.0
28,9,10.0,301649,0,1800,36,14.35,1172883168,0,1,1172882836,716602245,17.0,9.0,15400.0,4108.0,B2,0,0,0.1111111111111111
29,8,0.0,121068,1,11050,36,10.05,1154478459,0,1,1188174039,890009579,17.0,9.0,13600.0,8383.0,A4,0,0,0.1111111111111111
30,6,0.0,231397,1,29900,60,14.6,1172882772,0,0,1284336740,190687826,17.0,9.0,14900.0,11183.0,B2,1,0,0.0
31,10,4.0,161182,0,11050,60,11.65,1091406324,0,0,1091407204,771726924,17.0,9.0,33400.0,14490.0,A4,0,0,0.0
32,8,0.0,371809,0,5200,36,12.65,1196641768,0,0,1261440070,871692876,17.0,9.0,17400.0,1800.0,B0,0,0,0.0
33,9,7.0,101025,2,5300,60,19.55,1109722577,0,0,1138234359,650764855,17.0,9.0,20800.0,4242.0,B5,1,0,0.0
34,10,8.0,141134,0,5950,36,14.45,1088726531,0,1,1088726848,734921386,17.0,9.0,13500.0,6517.0,B1,0,0,0.1111111111111111
35,9,10.0,512064,2,15950,60,14.1,1159748394,0,0,1240101573,832207108,17.0,9.0,19300.0,9355.0,B2,0,0,0.0
36,8,10.0,101007,2,5950,36,13.2,1162428793,0,1,1162426850,776997903,17.0,9.0,20800.0,9877.0,B1,0,0,0.1111111111111111
37,10,5.0,241454,0,5200,36,8.95,1065141016,0,0,1065141460,443146614,17.0,9.0,22400.0,14643.0,A2,0,0,0.0
38,7,10.0,181243,1,7800,36,8.15,1162429012,0,1,1162427346,469412359,17.0,9.0,16200.0,12063.0,A3,0,0,0.1111111111111111
39,7,0.0,231397,1,15950,60,14.2,1209687648,0,1,1209688481,750732480,17.0,9.0,38200.0,23550.0,B1,0,0,0.1111111111111111
40,10,3.0,131101,0,7200,36,10.5,1209686527,0,0,1240791764,782268306,17.0,9.0,21300.0,5789.0,A4,0,0,0.0
41,10,2.0,181241,1,15350,36,8.85,1083456143,0,0,1083459408,721873345,17.0,9.0,38600.0,18009.0,A2,0,0,0.0
42,6,3.0,241470,0,15950,36,12.8,1151799165,0,0,1167352571,787539119,17.0,9.0,26300.0,14043.0,B1,1,0,0.0
43,6,3.0,131101,0,12950,36,9.05,1170375645,0,0,1170377246,745460309,17.0,9.0,21100.0,20883.0,A3,0,0,0.0
44,8,1.0,361789,1,7000,36,13.35,1157155925,0,0,1157157539,798078790,17.0,9.0,29200.0,28051.0,B1,0,0,0.0
45,6,Unknown,321705,0,12950,60,12.1,1172881881,0,0,1224722398,295749741,17.0,9.0,18700.0,10251.0,B0,0,1,0.0
46,10,10.0,121082,0,7800,36,18.65,1078187917,0,0,1132620044,453514900,16.0,8.0,6300.0,3738.0,B3,0,0,0.0
47,8,2.0,311673,0,10400,36,12.85,1183423611,0,1,1196381583,874370991,16.0,8.0,16900.0,8918.0,B0,0,0,0.125
48,8,0.0,141139,1,10400,36,9.1,1165018466,0,1,1165019392,703382688,16.0,8.0,15300.0,13901.0,A3,0,0,0.125
49,10,1.0,431914,0,10400,36,11.5,1204419293,0,0,1209600056,800670450,16.0,8.0,19500.0,9564.0,A5,0,0,0.0
50,7,3.0,471985,0,29900,60,20.4,1128214113,0,0,1242261522,466734938,16.0,8.0,19000.0,11560.0,C3,1,0,0.0
51,6,0.0,331715,1,26100,60,26.2,1225587444,1,1,1334451085,527215309,16.0,8.0,13400.0,11121.0,C5,1,0,0.125
52,7,10.0,532114,2,15350,36,12.85,1183420802,0,1,1248220858,776995985,16.0,8.0,8200.0,5348.0,B0,0,0,0.125
53,9,6.0,231419,2,15950,36,14.75,1149209693,0,0,1237337631,595644075,16.0,8.0,14000.0,1257.0,B2,0,0,0.0
54,10,5.0,181265,1,9850,36,7.95,1191373148,0,1,1191372261,343181201,16.0,8.0,115400.0,44081.0,A2,0,0,0.125
55,6,Unknown,171191,1,13050,36,12.9,1186099694,0,0,1279412720,101089866,16.0,8.0,65500.0,328.0,B0,0,1,0.0
56,10,8.0,341744,0,5200,36,7.5,1028248396,0,0,1028248922,572054831,16.0,8.0,142900.0,5717.0,A2,0,0,0.0
57,10,10.0,482002,0,7000,36,7.0,1170377294,0,0,1180743843,798077207,16.0,8.0,15800.0,6372.0,A1,0,0,0.0
58,7,10.0,231397,1,21300,36,5.25,1165020587,0,0,1247963234,666665065,16.0,8.0,67600.0,2498.0,A0,0,0,0.0
59,9,3.0,532107,0,8900,36,14.5,1157155457,0,0,1157157530,966384505,16.0,8.0,14500.0,11753.0,B2,0,0,0.0
60,9,10.0,181256,2,25500,36,5.25,1167698551,0,0,1167697241,490322120,16.0,8.0,136400.0,53183.0,A0,0,0,0.0
61,10,4.0,181242,0,7200,36,5.3,1199320764,0,0,1217462922,884909302,16.0,8.0,18100.0,6605.0,A0,0,0,0.0
62,7,10.0,361787,0,15350,36,5.3,1212366286,0,1,1246061981,682389603,16.0,8.0,21200.0,10004.0,A0,0,0,0.125
63,10,10.0,331720,0,17500,36,6.9,1170377468,0,1,1172969877,266805954,16.0,8.0,20600.0,16634.0,A1,0,0,0.125
64,10,10.0,241451,1,26100,60,13.1,999391599,0,0,1022718329,408847747,16.0,8.0,44900.0,22382.0,B0,1,0,0.0
65,9,5.0,241476,1,5200,36,10.45,1196641393,0,0,1253666457,164247982,16.0,8.0,9400.0,2252.0,A3,0,0,0.0
66,10,10.0,461967,1,7200,36,9.9,1096677351,0,0,1140740824,345774000,16.0,8.0,13200.0,4592.0,A3,0,0,0.0
67,9,3.0,512068,1,15350,36,10.1,1151799199,0,0,1162169202,940119459,16.0,8.0,18500.0,13751.0,A4,0,0,0.0
68,10,10.0,241463,0,15350,36,9.55,1183424137,0,0,1204157602,750731113,16.0,8.0,24500.0,12278.0,A3,0,0,0.0
69,10,1.0,171192,1,5200,36,11.45,1191370222,0,0,1191370567,608690658,16.0,8.0,14200.0,5886.0,A5,0,0,0.0
70,7,2.0,191298,1,15350,36,20.05,1175560137,0,1,1232585826,758680987,16.0,8.0,9900.0,6989.0,C1,1,0,0.125
71,8,4.0,401852,0,7200,36,13.35,1138840408,0,0,1226967944,511317358,16.0,8.0,20300.0,689.0,B1,0,0,0.0
72,8,10.0,141138,0,11050,36,9.85,1162427680,0,0,1162426109,540435265,16.0,8.0,34300.0,30339.0,A4,0,0,0.0
73,10,5.0,181231,1,10400,36,10.45,994033697,0,0,1012176675,635127161,16.0,8.0,12800.0,8403.0,A3,0,0,0.0
74,10,10.0,311684,1,20900,60,16.8,1038788648,0,0,1152836229,343183073,16.0,8.0,8300.0,7645.0,B3,0,0,0.0
75,9,10.0,151165,0,5950,36,7.85,1165020976,0,1,1165020344,564106259,16.0,8.0,56000.0,52284.0,A2,0,0,0.125
76,7,0.0,171203,0,7000,36,8.35,1180831133,0,0,1232672382,745460374,15.0,8.0,15900.0,3336.0,A3,0,0,0.0
77,9,2.0,482003,1,16500,36,12.4,1157155673,0,1,1157156123,574475597,15.0,8.0,48900.0,42405.0,B0,0,0,0.125
78,7,0.0,171191,2,5200,36,19.6,1096676773,0,1,1096675778,482460234,15.0,8.0,9100.0,8608.0,B4,0,0,0.125
79,8,2.0,181239,0,10400,36,12.6,1122941297,0,0,1161822667,721874035,15.0,8.0,22000.0,6358.0,A5,0,0,0.0
80,8,5.0,251528,0,16500,60,21.8,1157157652,0,0,1255651260,934851393,15.0,8.0,13700.0,9244.0,D1,1,0,0.0
81,6,1.0,351771,1,15350,60,10.05,1114992545,0,1,1164241469,871690105,15.0,8.0,17900.0,11060.0,A3,0,0,0.125
82,7,3.0,421891,1,11050,36,7.0,1167698145,0,1,1235088998,879638546,15.0,8.0,9600.0,3874.0,A1,0,0,0.125
83,6,Unknown,181250,0,10400,36,13.4,1201997337,0,0,1202000054,629771138,15.0,8.0,48300.0,34376.0,B1,0,1,0.0
84,9,2.0,361785,0,11050,60,14.0,1230855157,1,0,1280103197,869011285,15.0,8.0,12400.0,9189.0,B1,0,0,0.0
85,9,3.0,181222,1,16500,36,9.65,1099356522,0,0,1117499636,624499620,15.0,8.0,19600.0,15053.0,A3,0,0,0.0
86,9,5.0,231431,0,10400,60,18.45,1149208897,0,1,1219191667,800672281,15.0,8.0,14400.0,6719.0,C1,1,0,0.125
87,9,1.0,451941,2,7600,36,19.4,1096676639,0,0,1096676377,382669105,15.0,8.0,54000.0,41342.0,B4,0,0,0.0
88,10,10.0,331713,2,15350,36,9.7,1094086114,0,0,1094084580,345773069,15.0,8.0,21700.0,15104.0,A3,0,0,0.0
89,8,5.0,381821,1,11050,36,13.55,1101947678,0,1,1120091406,529805073,15.0,8.0,13200.0,10186.0,A5,0,0,0.125
90,7,5.0,131104,1,20900,36,7.25,1151801445,0,0,1208823635,264127671,15.0,8.0,16500.0,9727.0,A2,0,0,0.0
91,10,6.0,181251,0,15350,36,14.45,1101946151,0,1,1101945687,414202240,15.0,8.0,27000.0,23215.0,B1,0,0,0.125
92,6,4.0,522094,0,10400,36,8.15,1207097353,0,0,1256342418,493001258,15.0,8.0,15400.0,5128.0,A3,0,0,0.0
93,10,10.0,181241,1,10400,36,16.2,1065140686,0,1,1096244389,500947966,15.0,8.0,31500.0,7327.0,B2,0,0,0.125
94,10,2.0,451946,1,7200,36,12.1,1054601332,0,0,1096071423,805940166,15.0,8.0,6300.0,4804.0,A4,0,0,0.0
95,9,7.0,231403,1,7000,36,13.35,1128214734,0,0,1128211964,911177443,15.0,8.0,15300.0,8886.0,B1,0,0,0.0
96,8,2.0,211345,1,5200,36,9.0,1186102384,0,0,1230164534,816567039,15.0,8.0,5600.0,2814.0,A3,0,0,0.0
97,8,2.0,311675,1,3700,36,8.2,1194048625,0,0,1274400214,495677989,15.0,8.0,7500.0,709.0,A3,0,0,0.0
98,9,8.0,121088,0,13050,36,6.45,1141259461,0,1,1174956228,800671790,15.0,8.0,13600.0,8810.0,A1,0,0,0.125
99,7,10.0,171191,1,15350,36,15.2,1178153433,0,0,1240359000,716604205,15.0,8.0,37900.0,5899.0,B2,0,0,0.0
100,8,4.0,311661,0,15950,36,6.45,1167697723,0,0,1240273180,398305891,15.0,8.0,46800.0,4212.0,A1,0,0,0.0
101,9,5.0,181232,1,11050,36,10.4,1228178955,0,0,1308528049,1089937242,15.0,8.0,10800.0,2160.0,A4,0,0,0.0
102,10,7.0,181256,1,11050,36,18.3,1078187583,0,0,1140394439,711245988,15.0,8.0,6000.0,4977.0,B3,0,0,0.0
103,9,8.0,231391,1,15350,36,5.35,1157157462,0,0,1157156879,606012325,15.0,8.0,108300.0,22955.0,A0,0,0,0.0
104,10,1.0,321697,0,10400,36,7.75,1128212275,0,1,1135988250,690336480,15.0,8.0,22800.0,9450.0,A2,0,0,0.125
105,9,3.0,231406,0,9850,36,10.9,1159749885,0,0,1159747311,711246158,15.0,8.0,21000.0,20680.0,A4,0,0,0.0
106,7,10.0,311676,2,5200,36,21.6,1233535527,0,0,1233533425,398305687,15.0,8.0,51700.0,37511.0,B5,0,0,0.0
107,7,10.0,361787,0,33050,36,9.65,1165018732,0,0,1165018514,382667783,15.0,8.0,57500.0,35946.0,A4,0,0,0.0
108,10,2.0,221379,0,29900,36,7.6,1065142437,0,0,1142899508,513996624,16.0,9.0,46500.0,6171.0,A1,0,0,0.0
109,8,10.0,191298,0,11050,36,11.05,1120263173,0,1,1122857010,495679444,16.0,9.0,13100.0,11940.0,A4,0,0,0.1111111111111111
110,6,Unknown,121067,0,23000,60,10.65,1170377079,0,0,1170377762,721875280,16.0,9.0,48800.0,31093.0,A4,1,1,0.0
111,8,3.0,241451,1,5200,36,11.5,1136162416,0,0,1136162449,787536552,16.0,9.0,21500.0,12315.0,A4,0,0,0.0
112,10,10.0,231421,0,10400,36,15.15,1065142387,0,1,1065140532,637546682,16.0,9.0,24900.0,14284.0,B1,0,0,0.1111111111111111
113,8,10.0,181225,1,3700,36,9.45,1186099849,0,0,1186100425,761359000,16.0,9.0,38100.0,12202.0,A3,1,0,0.0
114,7,1.0,181236,1,33050,36,20.1,1149208392,0,0,1239927019,995242404,16.0,9.0,12300.0,1890.0,C4,1,0,0.0
115,9,9.0,281584,2,20900,36,13.0,1112401122,0,1,1151282257,805942183,16.0,9.0,34500.0,13574.0,A5,0,0,0.1111111111111111
116,8,10.0,401857,1,9850,36,14.55,1120265605,0,0,1156551441,548208232,16.0,9.0,8300.0,6166.0,B2,0,0,0.0
117,8,3.0,441921,1,10400,36,10.6,1194049494,0,0,1217376227,724467151,16.0,9.0,19200.0,7905.0,A3,0,0,0.0
118,10,8.0,141143,0,7600,36,12.3,1136162445,0,0,1149120516,940120436,16.0,9.0,7900.0,6458.0,B0,0,0,0.0
119,7,10.0,181255,1,29900,36,8.25,1194049507,0,0,1245890655,919125242,16.0,9.0,23700.0,14404.0,A3,0,0,0.0
120,9,0.0,331725,0,20900,60,9.8,1172880684,0,0,1310258793,737512724,16.0,9.0,6000.0,3188.0,A4,0,0,0.0
121,8,2.0,311685,1,10400,36,7.9,1159750165,0,0,1159750706,364090647,16.0,9.0,17900.0,13480.0,A2,0,0,0.0
122,10,1.0,241479,0,11050,36,11.2,1062547378,0,0,1096246385,850696620,16.0,9.0,13800.0,8376.0,A3,1,0,0.0
123,10,2.0,181246,1,11050,36,9.9,1094083742,0,1,1094086386,132626383,16.0,9.0,25900.0,12381.0,A3,0,0,0.1111111111111111
124,6,Unknown,181251,1,21300,36,11.9,1165018317,0,1,1165019947,816569924,16.0,9.0,28100.0,20365.0,B0,0,1,0.1111111111111111
125,6,Unknown,221381,1,5300,36,13.55,1180831507,0,0,1230078907,705977487,16.0,9.0,18700.0,2595.0,B1,1,1,0.0
126,10,8.0,101039,0,10400,36,13.4,1036197426,0,1,1088037113,635129617,16.0,9.0,10500.0,4965.0,B0,0,0,0.1111111111111111
127,10,4.0,181255,1,15350,36,18.05,1051923433,0,0,1051922287,850697029,16.0,9.0,19000.0,17917.0,B3,0,0,0.0
128,6,10.0,121062,1,21300,36,12.8,1104625770,0,0,1140915216,103768585,16.0,9.0,40400.0,13629.0,A4,0,0,0.0
129,10,6.0,171201,0,15350,36,12.45,1120262645,0,0,1174696144,687657826,16.0,9.0,13300.0,7250.0,A5,1,0,0.0
130,9,10.0,221375,0,29900,36,13.0,1167696308,0,1,1172881088,406255539,16.0,9.0,36400.0,29068.0,B1,1,0,0.1111111111111111
131,10,0.0,311668,0,3700,36,12.45,1130891908,0,0,1130890196,800669252,16.0,9.0,6400.0,4472.0,B0,0,0,0.0
132,8,10.0,171193,0,21300,60,22.25,1170375207,0,0,1261097977,1026780454,16.0,9.0,40100.0,11305.0,C5,1,0,0.0
133,10,4.0,281581,1,5200,36,12.95,1170375064,0,0,1232585695,805939836,16.0,9.0,5600.0,1930.0,B1,0,0,0.0
134,10,8.0,401852,1,15950,36,16.05,1130891333,0,1,1208650566,903228054,16.0,9.0,21200.0,3494.0,B3,0,0,0.1111111111111111
135,7,10.0,321691,1,5200,36,11.4,1151799691,0,0,1151799783,905905260,16.0,9.0,18700.0,12762.0,A5,0,0,0.0
136,8,8.0,552153,1,10400,60,22.4,1183424192,0,0,1183424135,803349567,16.0,9.0,17000.0,13021.0,C1,0,0,0.0
137,9,4.0,361785,1,7200,36,8.1,1141257624,0,1,1141259008,771726456,16.0,9.0,15400.0,11863.0,A3,0,0,0.1111111111111111
138,9,10.0,181262,1,7200,36,8.25,1201997927,0,0,1292719565,513994329,16.0,9.0,61700.0,305.0,A3,0,0,0.0
139,8,3.0,241453,0,5200,36,8.2,1162427952,0,0,1162429159,895277086,16.0,9.0,21800.0,10869.0,A3,0,0,0.0
140,6,10.0,181227,2,21300,60,12.95,1172882580,0,0,1201392437,669171026,16.0,9.0,20000.0,17302.0,B1,1,0,0.0
141,9,10.0,421894,1,15350,60,9.95,1154479751,0,0,1193357516,819161223,16.0,9.0,31100.0,12066.0,A4,1,0,0.0
142,10,10.0,552155,0,15350,36,10.5,1133484274,0,0,1143851707,690338835,16.0,9.0,29000.0,13822.0,A4,0,0,0.0
143,8,1.0,461968,1,5950,36,12.55,1120265834,0,1,1140999292,606012657,16.0,9.0,10400.0,4976.0,A5,0,0,0.1111111111111111
144,6,Unknown,131101,1,10400,36,15.9,1217636741,0,0,1217638800,787538510,16.0,9.0,36500.0,16531.0,B2,0,1,0.0
145,9,4.0,311675,0,5200,36,9.65,1112401224,0,1,1112401667,632450804,17.0,8.0,18500.0,11871.0,A3,0,0,0.125
146,7,4.0,371813,1,15350,60,16.6,1165019600,0,0,1266109071,737511471,17.0,8.0,11600.0,6951.0,B3,0,0,0.0
147,8,8.0,401867,0,26100,60,14.95,1204419216,0,1,1227746408,782267341,17.0,8.0,28400.0,22587.0,B2,1,0,0.125
148,6,Unknown,311669,2,11050,36,8.45,1172880226,0,0,1180656291,535076366,17.0,8.0,85400.0,11265.0,A3,0,1,0.0
149,7,3.0,361784,2,7200,36,10.55,1183420886,0,0,1183423795,579747091,17.0,8.0,48400.0,23674.0,A4,1,0,0.0
150,6,Unknown,171191,0,7000,60,8.95,1038788751,0,0,1038788452,174788660,17.0,8.0,23100.0,14466.0,A2,0,1,0.0
151,7,10.0,231425,1,15950,60,13.9,1162427972,0,0,1279067501,905904595,17.0,8.0,11500.0,5357.0,B2,0,0,0.0
152,6,Unknown,331719,1,5200,36,8.95,1180829781,0,1,1180832334,266806694,17.0,8.0,33000.0,23957.0,A3,1,1,0.125
153,10,10.0,241482,2,7200,36,10.85,1175560111,0,1,1175559878,976927041,17.0,8.0,19700.0,8059.0,A4,1,0,0.125
154,7,10.0,131118,1,15350,60,14.05,1146529897,0,1,1260577860,637547431,17.0,8.0,13700.0,5154.0,B2,0,0,0.125
155,9,5.0,121079,0,15350,36,14.05,1154478755,0,0,1214093373,679709949,17.0,8.0,14100.0,6577.0,B2,0,0,0.0
156,10,10.0,181259,1,29900,36,16.1,1209686658,0,0,1209687410,650766779,17.0,8.0,32100.0,31448.0,B2,1,0,0.0
157,9,8.0,231416,0,5200,36,5.35,1159748759,0,0,1159748488,779675761,17.0,8.0,45200.0,15521.0,A0,0,0,0.0
158,7,2.0,161182,1,7200,36,13.35,1194049129,0,0,1194050312,924307422,17.0,8.0,16900.0,9441.0,B1,0,0,0.0
159,5,10.0,331716,0,5950,36,11.35,1191372174,0,1,1191371247,414201804,17.0,8.0,27500.0,12499.0,A4,0,0,0.125
160,8,7.0,231440,1,5200,36,12.45,1136162248,0,0,1136163154,406255217,17.0,8.0,34600.0,31889.0,B0,0,0,0.0
161,10,10.0,231401,1,10400,36,17.95,1067818485,0,0,1075596798,272073864,17.0,8.0,13600.0,9475.0,B3,0,0,0.0
162,8,10.0,171195,2,21300,36,11.0,1217635270,0,1,1248739788,558836966,17.0,8.0,28200.0,14366.0,A4,0,0,0.125
163,10,10.0,171201,0,25500,36,7.0,1167698334,0,0,1211760889,763779065,17.0,8.0,31000.0,16140.0,A1,1,0,0.0
164,10,3.0,311675,1,7200,36,19.0,1094083575,0,0,1140742204,784946477,17.0,8.0,7200.0,4757.0,B4,0,0,0.0
165,6,10.0,482002,0,23000,36,6.9,1162426619,0,1,1224636155,795399906,17.0,8.0,25000.0,8940.0,A1,0,0,0.125
166,10,5.0,582194,2,9850,36,18.45,1057190609,0,0,1057191860,805942687,17.0,8.0,10300.0,9381.0,B4,0,0,0.0
167,6,0.0,311676,1,1800,36,13.35,1167698611,0,0,1167699461,774317572,17.0,8.0,14800.0,9144.0,B1,0,0,0.0
168,8,10.0,181250,2,26100,36,7.3,1233536153,0,0,1267231784,758681956,17.0,8.0,36500.0,16796.0,A2,0,0,0.0
169,8,10.0,151169,0,15950,36,5.35,1207094667,0,1,1233015468,732243025,17.0,8.0,28800.0,11920.0,A0,0,0,0.125
170,10,3.0,191298,1,11050,36,13.35,1114995453,0,0,1174610433,798077838,14.0,8.0,6500.0,5109.0,B1,0,0,0.0
171,9,3.0,121062,1,5950,36,14.4,1170377930,0,1,1219623420,1021510434,14.0,8.0,5300.0,3276.0,B2,1,0,0.125
172,7,5.0,311679,0,16500,36,9.5,1136160888,0,0,1177634107,485052056,14.0,8.0,17900.0,10830.0,A3,0,0,0.0
173,8,1.0,161182,1,10400,36,7.9,1162428142,0,0,1162426049,348452611,14.0,8.0,24600.0,14033.0,A2,0,0,0.0
174,9,2.0,181224,1,23000,60,16.85,1151798442,0,1,1242520738,895278032,14.0,8.0,18700.0,12562.0,B4,1,0,0.125
175,7,3.0,241456,2,23000,60,22.6,1186102234,0,0,1287188048,721872473,14.0,8.0,20900.0,11656.0,C1,1,0,0.0
176,10,10.0,311668,0,13200,36,6.0,1044145106,0,0,1044145751,716602858,14.0,8.0,36700.0,17171.0,A0,0,0,0.0
177,6,Unknown,281590,2,10400,36,12.65,1154479076,0,0,1154477694,153792403,14.0,8.0,29000.0,11249.0,B1,0,1,0.0
178,6,Unknown,331711,1,5200,36,8.65,1136162407,0,0,1190593789,311647256,14.0,8.0,15300.0,2291.0,A3,0,1,0.0
179,9,3.0,181251,1,5200,36,11.0,1107304131,0,1,1107302511,293157556,14.0,8.0,39700.0,32070.0,A3,0,0,0.125
180,6,10.0,171201,0,21300,36,16.05,1235955042,0,1,1235952906,774319006,14.0,8.0,28200.0,21891.0,B2,0,0,0.125
181,9,4.0,131103,0,11050,60,14.7,1146530229,0,1,1252802825,824517911,14.0,8.0,5900.0,4963.0,B2,0,0,0.125
182,7,4.0,231416,2,10400,60,9.35,1228176225,0,0,1228179359,961116361,14.0,8.0,,1.0,A3,1,0,0.0
183,6,10.0,471991,0,5300,36,9.25,1167696083,0,0,1167696725,700707260,14.0,8.0,26400.0,5849.0,A3,0,0,0.0
184,8,5.0,451944,0,11050,36,7.3,1172883368,0,0,1203985364,737513682,14.0,8.0,10200.0,8344.0,A2,0,0,0.0
185,8,10.0,181238,0,21300,60,12.3,1154476868,0,0,1250381049,453517043,14.0,8.0,37300.0,9311.0,B0,0,0,0.0
186,8,4.0,361785,1,10400,36,6.2,1157155788,0,1,1175301029,492999165,14.0,8.0,21500.0,8369.0,A1,0,0,0.125
187,9,2.0,291629,1,7200,36,9.8,1172881541,0,0,1172880602,971657305,14.0,8.0,15800.0,9743.0,A4,0,0,0.0
188,9,1.0,401856,2,7000,36,12.8,1154478097,0,1,1159661239,950747221,14.0,8.0,8200.0,6706.0,B1,0,0,0.125
189,9,4.0,181265,0,16500,60,18.3,1146529366,0,0,1263170000,272074857,14.0,8.0,11800.0,6290.0,C1,1,0,0.0
190,10,5.0,211349,0,15350,60,15.65,1101948165,0,1,1101948864,690336027,14.0,8.0,32800.0,31090.0,B1,0,0,0.125
191,9,2.0,371816,1,5950,36,14.1,1120265058,0,0,1151369405,669171355,14.0,8.0,7600.0,4344.0,B1,0,0,0.0
192,9,10.0,492020,0,7000,36,11.75,1120262505,0,1,1120263029,745459719,14.0,8.0,25500.0,11238.0,A4,0,0,0.125
193,8,2.0,181251,1,7800,36,13.95,1230856970,0,0,1264552608,779674869,14.0,8.0,11900.0,5324.0,B1,1,0,0.0
194,10,0.0,201331,1,7000,36,13.0,1175560759,0,0,1245543077,1003191554,14.0,8.0,8500.0,2191.0,B1,1,0,0.0
195,9,10.0,371810,0,23000,60,18.5,1151798697,0,0,1242521235,498270982,14.0,8.0,13600.0,12854.0,C2,1,0,0.0
196,10,10.0,361791,1,11050,36,15.25,1067818891,0,0,1067820770,750729825,14.0,8.0,17700.0,15354.0,B1,1,0,0.0
197,10,0.0,121065,1,21300,36,13.95,1199320572,0,0,1199319998,400983026,14.0,8.0,73700.0,21881.0,B1,0,0,0.0
