id,title,career,zip_code,residence,loan,term,interest_rate,issue_time,syndicated,installment,record_time,history_time,total_accounts,balance_accounts,balance_limit,balance,level
53513,8,8,311662,1,11050,36,10.05,1151799827,0,0,1162167553,848103215,16,8,14800,10934,A4
53514,8,2,331717,2,9850,36,9.5,1183423077,0,0,1204157668,650765598,16,8,14000,7345,A3
53515,8,10,231396,0,7200,36,10.9,1186099640,0,0,1186101124,834883804,16,8,15900,8129,A4
53516,9,10,271564,1,5200,36,11.4,1202000395,0,1,1274575529,629770845,16,8,4100,1398,A4
53517,8,5,251511,0,26100,36,14.45,1172881210,0,1,1172883226,500948281,16,8,61500,46150,B2
53518,10,3,421903,1,10400,36,15.7,1083458113,0,0,1083457812,695608429,15,8,22600,18520,B1
53519,6,2,311681,2,3700,36,14.6,1117672514,0,0,1117670774,598236529,15,8,5900,4157,B2
53520,10,6,251522,1,5200,36,18.3,1083458051,0,1,1122338608,450922675,15,8,11300,3276,B3
53521,8,6,141133,0,5200,36,16.65,1107304952,0,1,1107302773,869011720,15,8,18000,6601,B3
53522,6,5,321697,0,7800,36,9.9,1096677285,0,0,1132964910,842834947,15,8,9900,4871,A3
53523,8,10,281587,0,21300,60,16.2,1101947597,0,0,1107130907,637546382,15,8,24500,19770,B2
53524,7,1,321693,0,21300,60,21.8,1178153999,0,1,1178152379,800671252,15,8,27800,20594,C4
53525,7,10,291616,1,15350,36,18.6,1235955076,0,1,1329266155,861150019,15,8,10200,166,B3
53526,10,10,331712,0,1800,36,17,1183422726,0,0,1183421186,761360129,15,8,15100,12350,B3
53527,6,2,231391,1,21300,36,12.8,1151801017,0,0,1151799972,645495964,15,8,36700,35596,B1
53528,7,1,281586,1,11050,60,15.2,1099355213,0,1,1099356959,779676443,15,8,17800,12789,B1
53529,9,6,421901,1,16500,60,17.7,1099354895,0,0,1236730647,774319221,15,8,10700,3333,B3
53530,10,10,241451,0,15350,60,14.2,1094086197,0,1,1213316176,740189302,15,8,11600,4674,B1
53531,9,10,241478,2,5950,36,7.9,1151799008,0,0,1151798852,303697124,15,8,67600,45939,A2
53532,5,5,131118,0,5300,36,11.6,1157155597,0,0,1157157891,585017083,15,8,24700,24426,A5
53533,9,4,281584,0,23000,36,6.8,1149206908,0,0,1188087577,874370782,15,8,21600,14691,A1
53534,8,9,131104,1,33050,36,19.15,1191372314,0,0,1266537930,656036538,15,8,16400,8538,B4
53535,8,0,231397,0,12950,36,17.05,1151798509,0,0,1229560350,224901794,16,9,7900,3078,B4
53536,6,,552153,1,5950,36,12.2,1151799428,0,1,1198457183,976925957,16,9,6900,3431,B0
53537,8,10,311682,0,9850,36,6.65,1238633282,0,0,1329351737,719196457,16,9,32200,513,A1
53538,10,4,301646,0,16500,36,12.4,1088727852,0,0,1125015662,856054692,16,9,21000,12195,A4
53539,6,,221377,0,11050,36,23.05,1235952950,1,1,1295569774,577155045,16,9,10000,5480,C1
53540,6,10,451944,0,15950,60,25.05,1159748014,0,1,1297125722,808619360,16,9,10000,3199,D4
53541,8,4,331714,0,15350,36,7.9,1230856830,0,1,1233447634,340504119,16,9,53900,14820,A2
53542,6,0,181222,1,11050,60,19.95,1175561463,0,0,1237769191,892685383,16,9,12300,8556,C1
53543,7,9,331715,1,5950,36,9.8,1175561400,0,1,1175559925,558838303,16,9,19100,7735,A4
53544,7,0,181234,1,29900,60,14.45,1170376395,0,0,1170377217,671846487,16,9,47400,33822,B2
53545,8,6,291603,0,29900,60,26.9,1238633120,0,1,1378600860,1016239957,16,9,13700,5784,C5
53546,6,9,241478,1,15350,36,10.75,1172882938,1,0,1172881542,837478153,16,9,26400,19475,A4
53547,8,9,181274,1,26100,36,14.55,1172881348,0,1,1263603357,695606977,16,9,12700,944,B2
53548,10,0,361798,0,13050,36,13.5,1167696401,0,1,1167696721,732240814,16,9,15600,13641,B1
53549,10,7,471991,0,3700,36,12.95,1107305249,0,0,1107304436,705975496,16,9,7500,4809,A5
53550,8,2,241451,0,33050,60,9.85,1220316008,0,0,1295481740,879640948,16,9,80200,20526,A3
53551,7,1,231391,2,7200,36,9.65,1109722652,0,0,1114906836,687659559,16,9,9300,7788,A3
53552,8,2,522085,1,12950,36,9.25,1167698297,0,0,1240274962,740191908,17,8,15500,3549,A3
53553,10,10,181235,0,23000,36,8.85,1067819117,0,0,1067818148,340505935,17,8,50900,25154,A2
53554,10,3,181225,2,29900,36,8.95,1044144878,0,1,1044144941,587694262,17,8,70700,43032,A2
53555,6,10,311662,1,29900,36,16.45,1178152721,0,0,1178153616,679709508,17,8,43900,36462,B3
53556,9,6,241458,1,11050,36,12.15,1154480027,0,0,1172623839,677119250,17,8,19800,10176,B0
53557,9,0,281590,1,11050,36,14.85,1201998025,0,0,1264207954,895278371,17,8,17300,4805,B2
53558,7,2,471990,1,11050,60,13.5,1207094407,1,1,1336694787,637547946,17,8,15800,2766,B1
53559,10,1,181228,1,15350,36,17.55,1036195504,0,1,1036196706,656035497,17,8,22900,16462,B4
53560,10,10,101009,1,13050,36,12.05,1241225745,0,0,1251593605,395627127,17,8,17000,11897,A5
53561,6,0,241473,0,7000,36,11,1225585249,1,0,1303347293,771724898,17,8,9100,1485,A4
53562,9,6,321691,0,7600,36,12,1212364819,0,0,1212367537,690337473,17,8,42800,7360,A5
53563,7,3,421903,0,11050,36,16.2,1212364892,0,0,1222735478,290477571,17,8,22600,11071,B2
53564,10,10,171199,0,16500,36,9.75,1051921872,0,0,1134864668,774317981,14,8,41200,2510,A3
53565,7,1,311675,1,10400,36,12.8,1146529993,0,1,1216513161,748140267,14,8,6300,2876,B1
53566,10,3,231428,0,11050,36,7.65,1015027876,0,1,1033172084,750732702,14,8,36300,9994,A2
53567,7,10,101019,0,15350,36,12.2,1154478130,0,0,1219277721,776996030,14,8,18100,5552,B0
53568,6,,241461,1,15350,36,16.45,1125621459,0,0,1190419233,787538586,14,8,6500,5601,B3
53569,9,2,181228,1,13050,36,12.25,1157155508,0,0,1167525874,926902160,14,8,21900,12059,B0
53570,10,7,221381,1,15350,36,10.55,986171225,0,0,1071708760,564109164,14,8,14800,1616,A4
53571,6,10,191297,0,5200,36,13.7,1170375020,0,0,1170375496,832206881,14,8,22300,8638,B1
53572,10,6,151166,0,7200,36,17.85,1078187442,0,0,1153356129,882233716,14,8,10500,2069,B3
53573,9,10,181235,0,29900,36,18.15,1225585411,0,1,1300752294,627181050,14,8,9600,7223,B3
53574,7,8,231402,0,13050,36,15.15,1114994724,0,1,1177203449,892688174,14,8,11500,5266,B2
53575,10,10,171200,0,15950,60,30,1217637459,1,0,1305765155,685069062,14,8,11800,9898,D3
53576,6,,251523,2,7600,36,18.8,1191370684,0,0,1191370130,866420687,14,8,16500,9945,B4
53577,8,3,311664,0,15950,36,8,1199319757,0,1,1287447359,816566738,14,8,17400,1382,A2
53578,9,10,181229,1,10400,60,24.25,1188779850,0,0,1258762141,724465579,14,8,13700,6994,C3
53579,9,3,181227,1,5200,36,7.9,1143937556,0,0,1143937712,871689848,14,8,28100,20304,A2
53580,9,6,241456,0,5950,36,13.05,1120265103,0,1,1120262518,979604611,14,8,7700,6171,B0
53581,10,2,181234,0,11050,36,16.35,981072789,0,0,981073882,629772910,14,8,24700,22216,C1
53582,7,3,281592,0,3700,36,11.5,1204419498,0,1,1251073720,729821603,14,8,6600,2198,A5
53583,8,7,351771,1,29900,36,11.5,1149207424,0,0,1149208908,603591335,14,8,55700,44770,A5
53584,10,1,181225,1,21300,36,11.35,1201997504,0,0,1248652907,419387351,14,8,28800,11342,A4
53585,8,10,171191,1,11050,36,6.55,1165019787,0,0,1175388468,705977983,19,9,36300,10940,A1
53586,9,4,121062,1,11050,36,11.65,1120264026,0,0,1120263348,477362590,19,9,24100,18600,A4
53587,9,10,191298,1,5950,36,17.6,1149208287,0,0,1149208718,579745352,19,9,11900,8780,B4
53588,7,10,271563,0,15950,60,14,1141258662,0,0,1257899626,763776214,19,9,6100,5194,B2
53589,10,8,181251,0,25500,36,6.45,1170376480,0,0,1242951033,903225727,19,9,32700,6766,A1
53590,10,10,361784,0,10400,36,26.35,1199321805,0,0,1199320999,845424199,19,9,24900,18138,C5
53591,9,3,241453,2,15350,60,13.2,1149207870,0,0,1190680360,582424860,19,9,20000,12112,B1
53592,8,2,321705,1,3700,36,6.55,1125621516,0,1,1159318367,913768954,19,9,14400,2646,A1
53593,9,0,191293,1,7600,36,11.4,1136161278,0,0,1182818828,897957398,19,9,12600,3931,A4
53594,9,10,181224,0,5200,36,17.1,1194048784,1,0,1196642595,848103235,19,9,8200,4993,B3
53595,10,10,191292,0,21300,36,10.2,1128212511,0,0,1128213902,727144689,19,9,38500,31760,A3
53596,6,5,231392,1,7200,36,13.6,1180828975,0,1,1180830294,558838263,19,9,18800,8142,B1
53597,8,10,171191,0,21300,60,13.6,1172880923,0,0,1328400572,790216689,19,9,,0,B1
53598,9,1,121061,0,5950,36,7.2,1157157513,0,0,1157158219,550888395,19,9,38000,17854,A2
53599,9,2,241470,1,5300,36,16.45,1141260710,0,0,1141259985,808621039,19,9,24100,14567,B3
53600,7,10,181272,1,15950,60,19.5,1167699401,0,0,1292114686,656037800,18,9,7800,4762,C2
53601,6,10,181225,0,10050,60,18.8,1207095175,0,0,1225239322,598234611,18,9,15500,10216,B4
53602,10,1,231393,1,10400,36,12.15,1062549584,0,1,1062550082,897956961,18,9,23000,10708,A4
53603,8,9,191306,1,11050,36,11.55,1138839422,0,0,1182905786,882233778,18,9,17100,7081,A5
53604,8,7,291609,1,15350,60,19,1167696616,0,1,1284338633,787538104,18,9,12900,5256,C1
53605,8,0,181258,1,21300,36,13.55,1165018307,0,0,1255740768,545617376,18,9,8300,1100,B2
53606,7,10,171192,0,33050,60,24.85,1196643076,1,0,1321058778,948070478,18,9,35600,11167,C3
53607,7,7,181239,1,12950,36,13.5,1238631040,0,0,1248998741,737511734,18,9,16300,12927,B1
53608,9,10,181242,0,33050,36,8.15,1151800780,0,1,1151798411,366768188,18,9,56900,35340,A3
53609,10,10,231426,1,29900,60,11.8,1036198186,0,0,1072485758,385085555,18,9,81400,24576,A4
53610,8,10,241457,2,25500,36,6.45,1141257697,0,0,1190507765,653443354,18,9,67000,14394,A1
53611,10,10,482003,1,10400,36,9.7,1175560324,0,1,1198888449,808617769,12,7,20800,7896,A4
53612,7,0,401869,0,7000,36,13,1099355010,0,0,1099356564,700705235,12,7,17400,15432,A4
53613,7,6,241497,2,5200,36,12.35,1133482931,0,0,1133482363,222221038,12,7,51000,38398,B0
53614,8,10,131119,0,13050,36,7.4,1222907917,0,1,1225499912,876960549,12,7,36100,12974,A2
53615,6,10,181250,0,16500,60,14,1183424247,0,1,1313024006,348451669,12,7,23700,3955,B1
53616,8,6,431918,0,10400,36,17.2,1178152506,0,1,1178153667,1016239056,12,7,23600,16408,B3
53617,7,10,341756,0,15950,36,11.35,1204418197,0,0,1274403451,453515510,12,7,6400,4802,A4
53618,6,10,281586,1,23000,36,7.9,1078186195,0,0,1078186302,353548980,12,7,72900,39851,A2
53619,10,0,171192,1,10400,36,14.1,1167696752,0,1,1201393907,800671821,12,7,10500,7081,B2
53620,10,2,141138,1,3700,36,19,1178150585,0,0,1206663737,921630574,12,7,5300,3007,B4
53621,6,,321696,0,5200,36,8.85,1109722877,0,0,1164155593,821837135,12,7,9800,2269,A2
53622,6,0,361797,1,23000,36,14,1146530472,0,0,1185409237,784944367,12,7,14200,15414,B2
53623,9,8,181251,1,23000,60,15.6,1159748686,0,0,1260835292,377310733,12,7,13800,10891,B3
53624,10,10,231396,2,11050,60,14.05,1204418925,0,0,1354752791,663985712,12,7,7200,735,B1
53625,8,3,251523,0,21300,60,17.05,1143937927,0,0,1226882527,971656586,12,7,13400,11597,B4
53626,10,1,241457,1,11050,36,14.35,1180830666,0,0,1180831448,632449367,12,7,24500,16310,B2
53627,10,2,241470,0,15950,36,14.45,1107302473,0,0,1122854843,945389438,12,7,15200,13973,B1
53628,6,,231401,1,5200,36,15.65,1138840947,0,0,1188089125,840153926,12,7,5300,2715,B3
53629,8,10,181235,1,20900,36,10.85,1165019535,0,1,1196124537,372038527,12,7,34200,15583,A4
53630,7,2,231396,1,15350,60,7.05,1172883596,0,0,1172882282,298428423,12,7,36700,15035,A1
53631,9,7,281590,0,5200,36,9.4,1235953426,1,0,1287792821,1047862341,12,7,25800,2471,A3
53632,7,7,181249,0,11050,36,12.6,1141258655,0,1,1180137614,322014504,12,7,10800,7674,B1
53633,7,3,281584,0,5200,36,8.7,1133482487,0,0,1133483945,766455332,12,7,13300,7450,A3
53634,6,1,451941,0,10400,60,13.6,1235953843,0,0,1329264151,863742663,12,7,14600,4927,B1
53635,10,4,522085,1,7000,36,11.1,1075769218,0,0,1091321950,613958542,12,7,10400,6145,A3
53636,8,3,552152,1,11050,36,13.55,1199320878,0,1,1251161990,564106871,12,7,11400,6117,B1
53637,10,4,552152,0,21300,60,15.1,1235953135,1,0,1352594262,1087346797,12,7,7600,6787,B2
53638,8,6,221381,2,16500,60,9.05,1170375017,0,0,1170376017,682389784,20,10,45400,38514,A3
53639,10,4,361792,1,13200,36,13.2,1080865127,0,0,1086049649,790217706,20,10,19400,13826,A4
53640,10,4,291624,0,13200,60,15.45,1186101184,0,0,1186101143,869013570,20,10,19900,15399,B2
53641,7,2,161181,1,15350,36,12.5,1128214510,0,0,1143764722,790217704,20,10,27500,13049,A5
53642,7,10,311666,1,15350,60,16.35,1120265096,0,0,1208391757,190685843,20,10,14600,8021,B3
53643,7,0,421903,0,33050,36,12.55,1109724530,0,0,1109722174,640225738,20,10,85300,45121,A4
53644,10,10,181239,0,33050,60,13.55,1136161742,0,0,1226880792,734920174,20,10,39100,17939,B1
53645,9,0,101032,0,20900,60,17.65,1157155282,0,0,1263429262,756002841,20,10,9600,8755,B4
53646,8,0,522084,0,21300,60,12.3,1141258896,0,0,1141257691,705975626,20,10,40900,20454,B0
53647,9,10,311674,0,7600,36,6.35,1146528092,0,0,1198370094,640226001,20,10,5900,3554,A1
53648,7,5,241462,0,10400,36,11.05,1162427360,0,0,1162427218,606012455,20,10,13100,10445,A4
53649,8,1,121075,1,11050,36,11.5,1159747326,0,0,1164931797,861151940,20,10,22400,11707,A5
53650,9,10,311668,1,8900,36,19.35,1238633792,0,1,1238632896,874369732,20,10,30800,27917,B4
53651,8,3,291613,0,15950,60,18.35,1238633728,0,0,1238633540,882232769,20,10,,0,B3
53652,8,10,241459,2,5950,36,10.6,1207094651,0,1,1207096644,503542099,20,10,31000,21334,A3
53653,10,5,281587,0,16500,36,11.6,1117672924,0,0,1117672101,587695573,20,10,28400,24375,A4
53654,6,10,181230,1,10400,36,22.35,1172882247,0,0,1253233716,700707311,20,10,8400,2135,C5
53655,6,10,231396,1,25500,36,19.15,1114992542,0,0,1148690361,792895315,20,10,22300,20157,C1
53656,7,2,191301,1,7000,36,13.85,1149208735,0,0,1188088482,895280116,20,10,10400,4618,B2
53657,10,10,311679,1,3700,36,6.55,1122942739,0,0,1138494607,713924391,20,10,19000,3395,A1
53658,9,6,311668,1,11050,60,25.6,1114994882,0,1,1114992768,542940831,13,7,22900,14896,D5
53659,10,0,411883,1,15350,60,12.5,1133483805,0,1,1203466311,916447019,13,7,18500,9444,B0
53660,10,6,181247,1,7000,36,11.95,1170377747,0,0,1185928431,745461004,13,7,7300,6064,B0
53661,7,4,331718,2,21300,60,15.75,1141260042,0,0,1198285165,500947884,13,7,18500,14430,B3
53662,10,10,482003,1,10400,36,12.05,1220314712,0,0,1266971140,611281087,13,7,7300,5550,A5
53663,10,3,241456,1,5950,36,14.25,1088729538,0,1,1088728647,869014610,13,7,13600,7287,B1
53664,8,3,151164,1,2850,36,8,1180831468,0,0,1180829303,734919811,13,7,14700,4155,A2
53665,9,7,381822,1,29900,36,15.6,1186101090,0,1,1243125991,921629327,17,10,22400,13928,B2
53666,6,5,461961,1,17500,60,13.75,1130890212,0,1,1156810129,627178690,17,10,19600,15064,B1
53667,10,2,121062,1,12950,60,13.1,1096675792,0,0,1148515435,537753709,17,10,45600,10477,A4
53668,8,1,101035,0,7200,36,6.3,1151799648,0,0,1151801323,905904820,17,10,37100,10314,A1
53669,9,1,321698,0,10400,36,13,1096676853,0,0,1117411437,421978286,17,10,17900,8191,A4
53670,7,8,281584,0,23000,36,7.55,1167698131,0,0,1201393867,424657050,17,10,116300,16279,A2
53671,8,0,121062,0,23000,36,7.65,1104625401,0,0,1104624281,837478612,17,10,56200,35134,A1
53672,9,9,131101,1,7000,36,8.2,1159748359,0,1,1167523990,779676416,17,10,12900,6649,A3
53673,8,3,151169,0,7200,36,11.9,1130891266,0,0,1136074917,905905854,17,10,17900,7711,A5
53674,7,2,171195,0,10400,36,9.85,1165021162,0,0,1183162048,472003769,17,10,17300,8287,A4
53675,10,5,171191,0,20900,60,22.1,1054600566,0,0,1116808089,732243369,17,10,21200,15364,C5
53676,8,5,181255,1,25500,60,15.7,1112401199,0,0,1192753883,800669730,17,10,23400,16352,B2
53677,8,10,311682,0,11050,36,9.7,1109723987,0,0,1109725075,479782195,20,9,25300,14550,A3
53678,7,4,191310,1,13050,60,22.2,1117670878,0,0,1262824794,763778513,20,9,11000,1442,C5
53679,6,10,211354,0,11050,36,13.5,1188780145,0,1,1188777706,358821104,20,9,,0,B1
53680,7,5,181229,1,15950,60,12.05,1172881731,0,0,1240273718,727143905,20,9,28400,10307,B0
53681,9,3,532105,0,2850,36,12.6,1159750187,0,1,1159748843,782265876,20,9,15400,3570,B1
53682,10,1,431911,1,12950,36,10.15,1062549803,0,0,1062550738,750732451,20,9,26800,22099,A3
53683,8,10,391835,1,7000,36,21.9,1133481901,0,0,1133482873,842833171,20,9,11200,9823,C5
53684,9,2,321703,1,5950,36,7.2,1162428503,0,1,1162427828,840157078,20,9,10300,7425,A2
53685,7,7,381822,0,11050,36,11.1,1120264194,0,1,1177287820,358819921,20,9,7300,5333,A4
53686,10,5,181226,0,23000,60,17.3,1083458009,0,0,1218241435,850696107,20,9,12400,4797,B2
53687,6,10,532113,1,8900,36,11,1112402623,0,1,1112402983,435198725,20,9,28600,14923,A3
53688,9,10,482001,0,15350,36,13.1,1172880654,0,1,1261011367,729821288,20,9,10700,1219,B1
53689,9,0,401857,0,12950,36,6.35,1143936206,0,0,1143936469,648088846,20,9,24500,14286,A1
53690,9,2,361789,2,8900,36,11.1,1107302622,0,0,1107304888,687658589,20,9,16600,12167,A3
53691,9,0,241478,1,5200,36,24,1141257615,0,0,1156811933,853375017,20,9,9000,4461,D2
53692,10,6,231391,2,12950,36,8.95,1067818375,0,0,1067820725,466734651,20,9,61400,30452,A2
53693,8,2,241473,2,5200,36,7.5,1246496154,1,0,1246495955,700704682,20,9,49600,37242,A2
53694,8,1,341755,1,3700,36,13.85,1180831541,0,1,1263773048,876962399,20,9,6000,554,B1
53695,7,10,241462,0,7600,36,13.7,1217638006,0,1,1217637206,963707001,13,8,22200,14092,B1
53696,10,10,271559,2,5950,36,15.7,1136161845,0,0,1141344914,708653031,13,8,10900,5794,B3
53697,10,6,291614,1,16500,60,18.15,1088728388,0,0,1088728001,443147335,13,8,37200,23165,B3
53698,6,,311671,1,9850,36,10.1,1117671444,0,1,1156550896,740190191,13,8,9900,5739,A3
53699,7,1,291614,0,26100,60,13.35,1201999816,0,1,1220142808,535076230,13,8,68200,22973,B1
53700,6,,321703,0,15350,60,22.9,1167696227,0,1,1273968669,900548059,13,8,9200,6971,D2
53701,10,10,311674,1,7000,36,10.8,1178153763,0,1,1178151922,845427222,13,8,17100,13144,A4
53702,9,1,281585,1,7000,36,9.9,1096677645,0,0,1096675439,782268206,13,8,32300,7895,A3
53703,8,0,181227,1,15350,60,19.35,1167696979,0,0,1170290315,761358272,13,8,19300,14965,C2
53704,9,10,171206,1,23000,36,11.55,1157156936,0,0,1175301007,579747491,13,8,32700,19977,A5
53705,8,10,251513,0,10400,36,8.4,1178152100,0,1,1188520088,598237026,13,8,13700,9240,A3
53706,10,1,401855,1,10400,36,12.05,1096675280,0,0,1096675846,874369578,13,8,20100,12820,A4
53707,9,7,482002,2,5300,36,11.5,1201997417,0,0,1201998060,850697877,13,8,22200,6308,A4
53708,10,2,231415,1,7000,36,17.15,1178150586,0,0,1232583415,1039999081,13,8,8800,3455,B3
53709,10,10,101037,0,15950,60,14.4,1086137702,0,0,1086134985,787537188,13,8,43700,38871,B0
53710,10,9,181231,2,5200,36,12.7,1230857955,0,0,1285287477,858472638,13,8,17300,2448,B0
53711,7,3,231396,1,21300,60,11.95,1241225125,0,0,1386375904,808619409,13,8,21900,1918,A5
53712,9,0,231396,1,3700,36,10.5,1196642956,0,1,1196641538,869013409,13,8,15000,9375,A3
53713,7,0,181251,1,26100,36,18.15,1209689318,0,0,1217465953,711245275,13,8,27700,23545,B3
53714,9,10,311668,0,20900,60,15.5,1151799469,0,1,1268440813,740191810,13,8,9500,7399,B3
53715,9,5,321693,1,5300,36,14.05,1128214189,0,0,1128213214,716602771,13,8,16800,5877,B1
53716,8,0,181237,1,21300,36,13.25,1120262950,0,0,1151368128,429928386,13,8,17500,14588,B1
53717,10,0,231401,1,26100,60,23.45,1073090925,0,0,1073091332,703385040,14,7,44100,39321,D2
53718,7,10,512062,0,29900,60,11.4,1186100853,0,0,1341619402,887590435,14,7,17900,265,A5
53719,8,4,181234,1,5950,36,12.7,1186100611,0,0,1186100362,879641950,14,7,13500,8630,B0
53720,8,1,361782,0,7200,36,8.2,1157157748,0,0,1159750790,874369852,14,7,8500,7853,A3
53721,10,10,331718,1,12950,60,17.9,1186099860,0,1,1186101978,808620789,14,7,24200,18631,B3
53722,9,1,131103,0,10400,60,18.85,1228177337,0,0,1228179339,905905051,14,7,23000,15838,B4
53723,7,4,101011,0,9850,36,14.05,1128214569,0,0,1159318580,650768079,14,7,11200,6430,B1
53724,9,10,401856,1,9850,36,19.1,1233535645,0,0,1233533544,761358860,14,7,36900,36439,B4
53725,9,4,121076,1,25500,36,8.95,1104626949,0,0,1104625174,845425500,14,7,83800,35943,A2
53726,8,5,231404,1,7200,36,11.55,1209688215,0,1,1248567525,795399095,14,7,12700,5029,A5
53727,10,10,291614,2,5950,36,7.95,1057192115,0,0,1057192940,500948062,14,7,37300,6106,A2
53728,7,9,181258,1,5950,36,8.2,1130892256,0,0,1180138340,685066718,14,7,21900,3165,A2
53729,9,2,181251,1,21300,36,21.6,1199321909,0,1,1199320173,808619853,14,7,27600,26437,B5
53730,10,7,181227,1,15950,60,21.65,1088726963,0,1,1117241671,387765532,14,7,20300,14199,C3
53731,6,10,311672,0,1800,36,17.75,1096677590,0,0,1096675535,834884148,14,7,8000,3988,B3
53732,7,0,181231,1,9850,36,23.65,1235953200,0,1,1295570218,824518694,14,7,10400,4067,C2
53733,9,10,171198,0,10400,36,11.45,1151800018,0,0,1234745386,774317738,14,7,3300,1335,A5
53734,8,5,181222,1,5300,36,12.2,1146530822,0,0,1146531430,708654233,14,7,15700,10153,B0
53735,7,4,191296,2,10400,36,12.85,1172883200,0,0,1206579588,834885544,14,7,12200,6937,B1
53736,9,1,421896,1,5950,36,5.3,1178152648,0,0,1206664636,921629126,14,7,23200,4297,A0
53737,6,1,401860,1,11050,36,12.8,1157156502,0,0,1242693265,826936078,14,7,10300,1405,B1
53738,8,3,492025,0,5950,36,11.1,1112400618,0,1,1146098479,616550698,14,7,12500,4062,A3
53739,8,6,331714,0,3700,36,9.4,1233534548,0,1,1259454338,808620183,14,7,9400,3024,A3
53740,5,10,211341,0,3700,36,14.6,1128211311,0,0,1128212289,585015725,15,9,36800,36569,B2
53741,10,10,121081,0,2850,36,18,1246494652,0,0,1246496235,640226692,15,9,44000,36838,B3
53742,8,1,532103,0,15350,60,17.55,1109723527,0,0,1109722171,406254552,15,9,17200,15987,B3
53743,9,3,331711,2,7600,36,14.6,1117671742,0,0,1195431788,840155997,15,9,5700,1641,B2
53744,10,3,301647,1,10400,60,12.95,1120265397,0,0,1208391539,840155553,15,9,19700,5231,B0
53745,8,2,181261,0,7600,36,13.2,1159749047,0,1,1177892160,687661194,15,9,9900,6077,B1
53746,6,6,201327,0,23000,36,11.45,1151800299,0,1,1175127155,732240646,15,9,22900,19207,A5
